id;tracking_code;date;details;invoice_id
1;Mouse withdrawal;2020-04-21T08:02:00;payment unleash Jamaican Dollar;1
2;Rest;2020-04-22T03:18:30;Plains;2
3;Quality Plastic plum;2020-04-21T07:38:52;Minnesota parsing;3
4;Gorgeous Soft Hat Generic;2020-04-22T04:06:04;Architect SSL;4
5;zero tolerance;2020-04-22T01:02:23;user-facing CSS;5
6;ADP Ouguiya;2020-04-21T20:58:51;Garden;6
7;auxiliary;2020-04-22T05:14:51;functionalities Bedfordshire withdrawal;7
8;Data;2020-04-21T08:12:52;Viaduct hybrid;8
9;mesh;2020-04-22T06:38:31;human-resource Shoes Wooden;9
10;calculate value-added Metal;2020-04-22T04:37:25;Re-engineered withdrawal Ball;10
